Tool	Data	Environment	Walltime(sec.)	Usertime(sec.)
orfipy_bed	Bac (1.5 GB)	PC	51.88	188.3
orfipy_fa	Bac (1.5 GB)	PC	135.2	624.4
orfm_fa	Bac (1.5 GB)	PC	148.36	40.46
orfm_pep	Bac (1.5 GB)	PC	54.04	22.98
getorf_fa	Bac (1.5 GB)	PC	248.7	233.09
orfipy_bed	A. thal (120 MB)	PC	12.84	9.78
orfipy_fa	A. thal (120 MB)	PC	14.73	12.94
orfm_fa	A. thal (120 MB)	PC	1.45	1.35
orfm_pep	A. thal (120 MB)	PC	1.31	1.25
getorf_fa	A. thal (120 MB)	PC	12.66	12.13
orfipy_bed	Human (370 MB)	PC	12.21	52.04
orfipy_fa	Human (370 MB)	PC	29.49	162.48
orfm_fa	Human (370 MB)	PC	19.37	10.15
orfm_pep	Human (370 MB)	PC	10.34	6.09
getorf_fa	Human (370 MB)	PC	71.55	65.09
orfipy_bed	Bac (1.5 GB)	HPC	20.26	76.42
orfipy_fa	Bac (1.5 GB)	HPC	49.98	516.42
orfm_fa	Bac (1.5 GB)	HPC	59.16	37.36
orfm_pep	Bac (1.5 GB)	HPC	32.04	24.14
getorf_fa	Bac (1.5 GB)	HPC	274.18	241.89
orfipy_bed	A. thal (120 MB)	HPC	4.75	11.58
orfipy_fa	A. thal (120 MB)	HPC	10.27	14.99
orfm_fa	A. thal (120 MB)	HPC	1.79	1.49
orfm_pep	A. thal (120 MB)	HPC	3.1	1.45
getorf_fa	A. thal (120 MB)	HPC	13.7	12.98
orfipy_bed	Human (370 MB)	HPC	5.87	40.31
orfipy_fa	Human (370 MB)	HPC	10.25	72.66
orfm_fa	Human (370 MB)	HPC	21.36	12.06
orfm_pep	Human (370 MB)	HPC	11.01	7.39
getorf_fa	Human (370 MB)	HPC	111.71	71.21
