Tool	Data	Environment	Time(s)
getorf	A. thal (120 MB)	PC	8.33
getorf	A. thal (120 MB)	HPC	14
getorf	Human (370 MB)	PC	77.67
getorf	Human (370 MB)	HPC	85
getorf	Bac (1.5 GB)	PC	254.67
getorf	Bac (1.5 GB)	HPC	274.66
orfipy	A. thal (120 MB)	PC	11
orfipy	A. thal (120 MB)	HPC	6.6
orfipy	Human (370 MB)	PC	42.33
orfipy	Human (370 MB)	HPC	16.66
orfipy	Bac (1.5 GB)	PC	152
orfipy	Bac (1.5 GB)	HPC	79.33
orfm	A. thal (120 MB)	PC	2.67
orfm	A. thal (120 MB)	HPC	2.67
orfm	Human (370 MB)	PC	37.33
orfm	Human (370 MB)	HPC	22
orfm	Bac (1.5 GB)	PC	110
orfm	Bac (1.5 GB)	HPC	62.33
